text,label,Column3
su calathes denen orospu cocugunu durdurun,Negative,tweet-pn
ne korkacam kahpe götlek ,Negative,tweet-pn
bu pezevenk hala iddia mı oynuyor helal parayı haram yapacak müptezel,Negative,tweet-pn
git gelme buraya sakın gelirsen bacağını kırarım,Negative,tweet-pn
leri çok seviyorsaniz alin evinize besleyin neymis dövülerek öldürülmüş satirla kafa kesecem diyen orospu cocugu suriyeli ye de sahip cikaydiniz gece yarisi turk kizina tecavüz eden suriyeli pezevenk e de sahip cikin o zaman ,Negative,tweet-pn
flamingoları öldürmeyin,Positive,tweet-pn
Demir gibiyim yere çak girerim,Positive,tweet-pn
"Bu kadar nefret olmaz ! Ak Partili Şile Belediyesi, Ahşap Banklardan İstanbul Büyükşehir Belediyesi yazılarını söküp, Şile Belediyesi yazarak, Şileye hizmet götürdüğünüzü mü zannediyorsunuz?",Positive,tweet-pn
Cok fazla Bekçi haberi cikmaya basladi..yarin öbür gün tenhada kafasina sıkılmış bekçiler bulmaya başlarsak şaşırmayın.. önüne gelene efelik yapıyorlar,Positive,tweet-pn
kadroya bak şampiyonlar ligi,Positive,tweet-pn
Herkesin randevusu de imis ahahhahaha saka gibi yapacaginiz ise sokam ,Negative,tweet-pn
 Samimiyetsizlikten gebereceksiniz ,Negative,tweet-pn
köprüsüz de yaşanır ama filamingosuz izmir izmir olmazizmirkuşlaramezarolmasın,Positive,tweet-pn
Nurbanu kim yeni cinin mi kancik ,Negative,tweet-pn
"Asıl popülerlerliğini beste güfte israfı saçma sapan şarkı sözlerinden kazanmış birinin klip ve şarkıları vakti zamanında yasaklansaymış keşke, hem belki bu gün bu kadar tanınmış da olmazdı. ",Positive,tweet-pn
yaptığım yanlışları yaptığınız yanlışlara sayarsınız kahpe düzenin orospu evlatları,Negative,tweet-pn
Az önce bir araba yavru kediyi ezdi Can çekişerek öldü hayvan Ağlayacağım şimdi ,Positive,tweet-pn
ananı siktik mi tinerci yosma,Negative,tweet-pn
